,instance_ID,total_time,battery_left,CPU_time,path,flexible_decision,WCL_speed_level,battery_consumption,battery_charged,SOC,charging_time,Feasible_path_number,travel_time_list,charging_time_list,SC_time,SC_charging_time,SC_battery_charged,SC_charge_time_list,SC_travel_time_list,19,20,21,22,23,24
10,10.0,7.6015,3.83,532.945746421814,"['0', '5', '4', '1', '3', '2', '6', '7']","[0, 1, 1, 1, 0, 1, 0]","[0, 40, 40, 40, 0, 30, 0]","[14.56, 7.72, 24.27, 14.17, 9.59, 14.22, 15.89]","[0, 6.75, 31.5, 18.0, 0, 24.0, 0]","[24, 9.44, 8.47, 15.7, 19.53, 9.94, 19.72, 3.83]",0.89,13.0,"[1.14, 0.59, 1.82, 1.02, 0.72, 1.25, 1.05]","[0, 0.07, 0.35, 0.2, 0, 0.27, 0]",7.677769425562382,0.4,"[0, 7.02, 32.35, 18.5, 0, 24.5, 0]","[0, 0.03, 0.16, 0.09, 0, 0.12, 0]","[1.14, 0.61, 1.86, 1.04, 0.72, 1.26, 1.05]",0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,6.0348,4.91,1974.6320443153381,"['0', '4', '2', '5', '1', '6', '3', '7']","[1, 0, 0, 1, 1, 1, 0]","[40, 0, 0, 20, 40, 30, 0]","[1.41, 1.9, 16.26, 1.99, 25.3, 15.76, 15.63]","[2.25, 0, 0, 4.5, 29.25, 24.0, 0]","[24, 24, 22.1, 5.84, 8.35, 12.3, 20.54, 4.91]",0.68,46.0,"[0.12, 0.12, 1.29, 0.18, 1.74, 1.4, 1.17]","[0.03, 0, 0, 0.05, 0.33, 0.27, 0]",6.043817078207776,0.29000000000000004,"[1.46, 0, 0, 4.57, 30.14, 24.55, 0]","[0.01, 0, 0, 0.02, 0.14, 0.12, 0]","[0.12, 0.12, 1.29, 0.16, 1.75, 1.41, 1.17]",0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,5.1012,4.23,3301.5327508449554,"['0', '2', '1', '5', '4', '6', '3', '7']","[1, 1, 0, 1, 1, 1, 0]","[40, 40, 0, 40, 40, 40, 0]","[3.45, 9.81, 15.44, 7.49, 9.73, 13.44, 7.42]","[4.5, 11.25, 0, 6.75, 11.25, 15.75, 0]","[24, 24, 24, 8.56, 7.82, 9.34, 11.65, 4.23]",0.53,34.0,"[0.32, 0.81, 0.97, 0.58, 0.72, 1.14, 0.56]","[0.05, 0.12, 0, 0.07, 0.12, 0.17, 0]",5.207999754299754,0.24,"[3.57, 10.15, 0, 7.01, 11.59, 16.22, 0]","[0.02, 0.05, 0, 0.03, 0.06, 0.08, 0]","[0.33, 0.84, 0.97, 0.59, 0.73, 1.19, 0.56]",0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,3.8339,4.8,4390.232059717178,"['0', '1', '3', '5', '4', '2', '6', '7']","[0, 1, 0, 1, 0, 1, 0]","[0, 30, 0, 20, 0, 20, 0]","[9.93, 6.95, 10.85, 7.91, 11.62, 2.83, 3.61]","[0, 12.0, 0, 18.0, 0, 4.5, 0]","[24, 14.07, 19.12, 8.27, 18.36, 6.74, 8.41, 4.8]",0.38,42.0,"[0.63, 0.54, 0.71, 0.72, 0.75, 0.25, 0.24]","[0, 0.13, 0, 0.2, 0, 0.05, 0]",3.778659837973244,0.16999999999999998,"[0, 12.24, 0, 18.28, 0, 4.6, 0]","[0, 0.06, 0, 0.09, 0, 0.02, 0]","[0.63, 0.53, 0.71, 0.68, 0.75, 0.25, 0.24]",0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,3.2991,4.07,13923.458104848862,"['0', '3', '2', '6', '4', '1', '5', '7']","[0, 0, 1, 1, 1, 0, 0]","[0, 0, 40, 30, 20, 0, 0]","[9.51, 4.44, 3.67, 2.62, 7.63, 8.89, 8.67]","[0, 0, 4.5, 3.0, 18.0, 0, 0]","[24, 14.49, 10.05, 10.88, 11.26, 21.63, 12.74, 4.07]",0.28,32.0,"[0.65, 0.33, 0.31, 0.22, 0.67, 0.56, 0.55]","[0, 0, 0.05, 0.03, 0.2, 0, 0]",3.266004076228789,0.12,"[0, 0, 4.63, 3.09, 18.27, 0, 0]","[0, 0, 0.02, 0.01, 0.09, 0, 0]","[0.65, 0.33, 0.31, 0.23, 0.63, 0.56, 0.55]",0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,3.0103,4.93,36073.91635465622,"['0', '1', '4', '6', '5', '3', '2', '7']","[0, 0, 1, 1, 1, 0, 1]","[0, 0, 30, 40, 40, 0, 40]","[12.43, 5.69, 4.78, 0.4, 8.22, 5.75, 5.8]","[0, 0, 6.0, 2.25, 9.0, 0, 6.75]","[24, 11.57, 5.88, 7.1, 8.95, 9.73, 3.98, 4.93]",0.27,119.0,"[0.78, 0.37, 0.36, 0.04, 0.57, 0.43, 0.45]","[0, 0, 0.07, 0.03, 0.1, 0, 0.07]",3.0187766299068626,0.11,"[0, 0, 6.17, 2.26, 9.29, 0, 6.95]","[0, 0, 0.03, 0.01, 0.04, 0, 0.03]","[0.78, 0.37, 0.36, 0.04, 0.57, 0.43, 0.46]",0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,4.704,6.27,1273.4445486068726,"['0', '1', '6', '4', '3', '5', '2', '7']","[0, 1, 1, 1, 0, 1, 0]","[0, 0, 30, 40, 0, 40, 0]","[4.71, 6.41, 8.36, 21.97, 1.58, 13.29, 7.16]","[0, 0, 12.0, 20.25, 0, 13.5, 0]","[24, 19.29, 12.88, 16.52, 14.8, 13.22, 13.43, 6.27]",0.51,13.0,"[0.3, 0.4, 0.73, 1.54, 0.1, 1.13, 0.5]","[0, 0, 0.13, 0.23, 0, 0.15, 0]",4.384216540310025,0.23,"[0, 12.29, 21.02, 0, 13.97, 0]","[0, 0.06, 0.1, 0, 0.07, 0]","[0.3, 0.73, 1.57, 0.1, 1.18, 0.5]",0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,2.9421,5.06,6123.380811214447,"['0', '4', '6', '2', '1', '5', '3', '7']","[1, 1, 0, 1, 0, 1, 0]","[0, 40, 0, 40, 0, 40, 0]","[3.09, 10.32, 6.89, 3.87, 10.04, 5.31, 1.92]","[0, 11.25, 0, 4.5, 0, 6.75, 0]","[24, 20.91, 21.84, 14.95, 15.58, 5.54, 6.98, 5.06]",0.24,24.0,"[0.25, 0.76, 0.47, 0.32, 0.63, 0.37, 0.14]","[0, 0.12, 0, 0.05, 0, 0.07, 0]",2.721352364115778,0.11,"[11.61, 0, 4.64, 0, 6.94, 0]","[0.06, 0, 0.02, 0, 0.03, 0]","[0.77, 0.47, 0.33, 0.63, 0.37, 0.14]",0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,4.952,4.25,11911.843555688858,"['0', '3', '4', '5', '2', '1', '6', '7']","[0, 1, 1, 1, 1, 1, 0]","[0, 40, 40, 40, 30, 40, 0]","[16.37, 10.98, 8.71, 8.19, 6.33, 9.13, 5.04]","[0, 11.25, 9.0, 6.75, 9.0, 9.0, 0]","[24, 7.63, 7.9, 8.19, 6.75, 9.42, 9.29, 4.25]",0.49,140.0,"[1.12, 0.91, 0.73, 0.69, 0.55, 0.62, 0.33]","[0, 0.12, 0.1, 0.07, 0.1, 0.1, 0]",5.029314373897708,0.21000000000000002,"[0, 11.63, 9.3, 7.04, 9.22, 9.32, 0]","[0, 0.06, 0.04, 0.03, 0.04, 0.04, 0]","[1.12, 0.95, 0.74, 0.71, 0.55, 0.62, 0.33]",0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,3.855,3.83,5573.800751924515,"['0', '2', '3', '4', '1', '5', '6', '7']","[1, 1, 1, 1, 0, 1, 0]","[0, 40, 40, 40, 0, 30, 0]","[1.68, 14.24, 5.69, 9.78, 13.24, 3.93, 3.86]","[0, 13.5, 4.5, 11.25, 0, 3.0, 0]","[24, 22.32, 21.58, 20.39, 21.86, 8.62, 7.69, 3.83]",0.35,35.0,"[0.15, 1.14, 0.47, 0.73, 0.84, 0.28, 0.26]","[0, 0.15, 0.05, 0.12, 0, 0.03, 0]",3.7870125541125543,0.17,"[14.0, 4.7, 11.59, 0, 3.14, 0]","[0.07, 0.02, 0.06, 0, 0.02, 0]","[1.18, 0.49, 0.74, 0.84, 0.29, 0.26]",0.0,0.0,0.0,0.0,0.0,0.0
